bucket   LDL  STL
0x00000     5     5
0x00800     9    22
0x01000     5    16
0x01800     5    17
0x02000     5    18
0x02800     5     8
0x08800     0     2
0x0a800     2     2
0x0b000    10    16
0x0b800     0     2
0x0c000     2     4
0x0c800     3     9
0x0d000     7     1
0x0d800     4     3
0x0e000     2     2
0x12000     0    12
0x12800     0     3
0x13000     0    15
0x13800     0    15
0x14000     0    17
0x14800     0    16
0x15000     0    17
0x15800     0    18
0x16000     0    17
0x16800     0    17
0x17000     0     3
total LDL 64 STL 277
addr forms: [('[R1+0x10]', 44), ('[R1+0x38]', 44), ('[R1+0x20]', 44), ('[R1+0x30]', 44), ('[R1+0x28]', 42), ('[R1+0x50]', 6), ('[R1+0x40]', 6), ('[R37]', 6), ('[R37+0x10]', 6), ('[R1+0x180]', 5), ('[R1+0x190]', 5), ('[R1+0x1a0]', 5), ('[R1+0x1b0]', 5), ('[R1+0x1c0]', 5), ('[R1+0x48]', 4), ('[R1]', 4), ('[R1+0x110]', 2), ('[R1+0x120]', 2), ('[R1+0x100]', 2), ('[R1+0xf0]', 2)]
