bucket   LDL  STL
0x00000     5     5
0x00800     9    22
0x01000     5    18
0x01800     5    18
0x02000     5    21
0x02800     5     2
0x08800     0     2
0x0a000     1     1
0x0a800     1     3
0x0b000    10    14
0x0b800     0     2
0x0c000     2     4
0x0c800    10     9
0x0d000     0     2
0x0d800     4     2
0x0e000     2     2
0x0f800     0     7
0x10000     0    27
0x10800    24     5
0x11800    16    15
0x12800     0    13
0x13000    24     2
0x13800     0     5
0x14000     0    10
0x14800     0     7
0x15000    24     8
0x16000    13    15
0x16800    11     0
0x17000     0    10
0x17800     0     5
0x18000     0    15
0x18800    24     0
0x19000     0     5
0x19800     0    10
0x1a000     0     7
0x1a800     0     8
total LDL 200 STL 301
addr forms: [('[R1+0x10]', 44), ('[R1+0x38]', 44), ('[R1+0x20]', 44), ('[R1+0x30]', 44), ('[R1+0x28]', 42), ('[R1+0x50]', 6), ('[R1+0x40]', 6), ('[R32]', 6), ('[R32+0x10]', 6), ('[R3+0x1e0]', 6), ('[R0+0x1e0]', 6), ('[R3+0x1d0]', 6), ('[R0+0x1d0]', 6), ('[R0+0x230]', 6), ('[R0+0x240]', 6), ('[R3+0x230]', 6), ('[R3+0x240]', 6), ('[R0+0x290]', 6), ('[R0+0x2a0]', 6), ('[R3+0x290]', 6)]
