# targeted scope A/B, synchronized timer tree (WB_TIMER=1), 60 frames, one build
# scope | total ms | launch count;  ms/Newton-it = total / count
### timer stiff-gipc-case2 new rep1 (frames=60) 13:32:49
 *Pipeline | 12405.70787 ms | 60
 *Newton Iteration | 12101.457837 ms | 329
 *Build Linear System | 4751.259001 ms | 329
 *Assemble Subsystems | 3125.191074 ms | 329
 *FEM Reporters G/H | 2581.011653 ms | 329
 *G/H uipc::backend::cuda::StableNeoHookean3D | 1713.956343 ms | 329
 *E uipc::backend::cuda::StableNeoHookean3D | 58.69316 ms | 337
 *E uipc::backend::cuda::StableNeoHookean3D | 10.579177 ms | 60
### timer stiff-gipc-case2 old rep1 (frames=60) 13:33:07
 *Pipeline | 12608.181403 ms | 60
 *Newton Iteration | 12302.855379 ms | 331
 *Build Linear System | 5041.435471 ms | 331
 *Assemble Subsystems | 3403.77159 ms | 331
 *FEM Reporters G/H | 2855.655899 ms | 331
 *G/H uipc::backend::cuda::StableNeoHookean3D | 1980.39298 ms | 331
 *E uipc::backend::cuda::StableNeoHookean3D | 59.169126 ms | 339
 *E uipc::backend::cuda::StableNeoHookean3D | 10.60568 ms | 60
### timer mas-bunny new rep1 (frames=60) 13:33:24
 *Pipeline | 4903.515534 ms | 60
 *Newton Iteration | 4813.22968 ms | 283
 *Build Linear System | 1584.801213 ms | 283
 *Assemble Subsystems | 953.331715 ms | 283
 *FEM Reporters G/H | 794.565667 ms | 283
 *G/H uipc::backend::cuda::StableNeoHookean3D | 774.467801 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 28.370818 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 6.132345 ms | 60
### timer mas-bunny old rep1 (frames=60) 13:33:32
 *Pipeline | 5008.066055 ms | 60
 *Newton Iteration | 4917.926402 ms | 283
 *Build Linear System | 1688.869839 ms | 283
 *Assemble Subsystems | 1057.268197 ms | 283
 *FEM Reporters G/H | 898.776575 ms | 283
 *G/H uipc::backend::cuda::StableNeoHookean3D | 878.793339 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 28.360795 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 6.110963 ms | 60
### timer stiff-gipc-case2 new rep2 (frames=60) 13:33:40
 *Pipeline | 12392.128637 ms | 60
 *Newton Iteration | 12086.607069 ms | 328
 *Build Linear System | 4747.693449 ms | 328
 *Assemble Subsystems | 3123.904032 ms | 328
 *FEM Reporters G/H | 2579.871309 ms | 328
 *G/H uipc::backend::cuda::StableNeoHookean3D | 1713.665905 ms | 328
 *E uipc::backend::cuda::StableNeoHookean3D | 58.793989 ms | 336
 *E uipc::backend::cuda::StableNeoHookean3D | 10.644603 ms | 60
### timer stiff-gipc-case2 old rep2 (frames=60) 13:33:57
 *Pipeline | 12646.635463 ms | 60
 *Newton Iteration | 12340.221558 ms | 331
 *Build Linear System | 5044.978591 ms | 331
 *Assemble Subsystems | 3407.522219 ms | 331
 *FEM Reporters G/H | 2860.507516 ms | 331
 *G/H uipc::backend::cuda::StableNeoHookean3D | 1981.460855 ms | 331
 *E uipc::backend::cuda::StableNeoHookean3D | 58.688952 ms | 335
 *E uipc::backend::cuda::StableNeoHookean3D | 10.6397 ms | 60
### timer mas-bunny new rep2 (frames=60) 13:34:14
 *Pipeline | 4903.185517 ms | 60
 *Newton Iteration | 4812.823373 ms | 283
 *Build Linear System | 1583.455849 ms | 283
 *Assemble Subsystems | 951.52954 ms | 283
 *FEM Reporters G/H | 792.99916 ms | 283
 *G/H uipc::backend::cuda::StableNeoHookean3D | 772.964588 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 28.384322 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 6.135609 ms | 60
### timer mas-bunny old rep2 (frames=60) 13:34:22
 *Pipeline | 5005.279209 ms | 60
 *Newton Iteration | 4915.331393 ms | 283
 *Build Linear System | 1689.522409 ms | 283
 *Assemble Subsystems | 1058.466218 ms | 283
 *FEM Reporters G/H | 900.052482 ms | 283
 *G/H uipc::backend::cuda::StableNeoHookean3D | 880.063004 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 28.313543 ms | 283
 *E uipc::backend::cuda::StableNeoHookean3D | 6.139516 ms | 60
