PE shipped s0  n=300000  p50 1.016e-15  p90 2.348e-09  p99 5.032e-09  p99.9 7.828e-09  max 1.097e-07 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112105/187895
PE shipped s1  n=300000  p50 1.016e-15  p90 2.366e-09  p99 5.050e-09  p99.9 7.920e-09  max 2.668e-08 | NaN new 0 old 0  negdiag 0 | dim2/dim3 113185/186815
PE shipped s2  n=300000  p50 1.013e-15  p90 2.357e-09  p99 5.054e-09  p99.9 7.765e-09  max 3.251e-08 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112577/187423
PE basis s0    n=300000  p50 9.697e-16  p90 2.348e-09  p99 5.032e-09  p99.9 7.828e-09  max 1.097e-07 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112105/187895
PE basis s1    n=300000  p50 9.748e-16  p90 2.366e-09  p99 5.050e-09  p99.9 7.920e-09  max 2.668e-08 | NaN new 0 old 0  negdiag 0 | dim2/dim3 113185/186815
PE basis s2    n=300000  p50 9.669e-16  p90 2.357e-09  p99 5.054e-09  p99.9 7.765e-09  max 3.251e-08 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112577/187423
PE old-vs-exact s0 n=300000  p50 1.081e-15  p90 2.874e-15  p99 3.394e-09  p99.9 4.416e-09  max 5.632e-09 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112105/187895
PE old-vs-exact s1 n=300000  p50 1.087e-15  p90 2.902e-15  p99 3.391e-09  p99.9 4.455e-09  max 5.675e-09 | NaN new 0 old 0  negdiag 0 | dim2/dim3 113185/186815
PE old-vs-exact s2 n=300000  p50 1.083e-15  p90 2.878e-15  p99 3.383e-09  p99.9 4.420e-09  max 5.701e-09 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112577/187423
PE new-vs-exact s0 n=300000  p50 1.118e-15  p90 3.692e-15  p99 4.309e-09  p99.9 6.206e-09  max 1.117e-07 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112105/187895
PE new-vs-exact s1 n=300000  p50 1.119e-15  p90 3.933e-15  p99 4.326e-09  p99.9 6.237e-09  max 2.440e-08 | NaN new 0 old 0  negdiag 0 | dim2/dim3 113185/186815
PE new-vs-exact s2 n=300000  p50 1.118e-15  p90 3.766e-15  p99 4.321e-09  p99.9 6.242e-09  max 3.251e-08 | NaN new 0 old 0  negdiag 0 | dim2/dim3 112577/187423
PP old-vs-exact s0 n=300000  p50 9.723e-16  p90 2.076e-15  p99 3.771e-09  p99.9 4.901e-09  max 5.690e-09 | NaN new 0 old 0  negdiag 0 | dim2/dim3 300000/0
PP old-vs-exact s1 n=300000  p50 9.733e-16  p90 2.086e-15  p99 3.793e-09  p99.9 4.930e-09  max 5.659e-09 | NaN new 0 old 0  negdiag 0 | dim2/dim3 300000/0
PP old-vs-exact s2 n=300000  p50 9.731e-16  p90 2.082e-15  p99 3.793e-09  p99.9 4.931e-09  max 5.680e-09 | NaN new 0 old 0  negdiag 0 | dim2/dim3 300000/0
PP new-vs-exact s0 n=300000  p50 9.851e-16  p90 2.185e-15  p99 4.529e-09  p99.9 6.962e-09  max 2.462e-08 | NaN new 0 old 0  negdiag 0 | dim2/dim3 300000/0
