tumbler-garments: per-kernel mean ms over 3 full 180-frame runs (UIPC_DSB_GAUSS_NEWTON 0 -> 1)
kernel                                                          old ms    new ms     delta      d%  old lau  new lau
DiscreteShellBending_do_compute_gradient_hessian_kernel         5006.3     486.6   -4519.8   -90.3     1452     1419
do_assemble_kernel                                              4654.7    4555.4     -99.3    -2.1     4731     4277
InfoStacklessBVHSimplexTrajectoryFilter_filter_toi_k4_kern      2435.2    2121.3    -313.9   -12.9     1452     1419
InfoStacklessBVH_pairFilter_kernel                              2230.1    1972.8    -257.4   -11.5     3286     3219
Spmv_rbk_sym_spmv_dot_chunked_kernel                            1548.5    1446.8    -101.7    -6.6    49052    45292
InfoStacklessBVH_stacklessSelf_kernel                           1445.8    1307.1    -138.8    -9.6     1643     1609
InfoStacklessBVHSimplexTrajectoryFilter_filter_toi_k3_kern      1247.1    1082.1    -165.0   -13.2     1452     1419
InfoStacklessBVHSimplexTrajectoryFilter_filter_active_k4_k      1026.5     869.7    -156.8   -15.3     1901     1838
MASPreconditionerEngine_schwarz_local_solve_rowdot_kernel        692.4     642.3     -50.1    -7.2    50504    46710
fast_segmental_reduce_matrix_kernel                              685.0     665.3     -19.6    -2.9     4329     4228
InfoStacklessBVH_stacklessOther_kernel                           669.4     598.3     -71.1   -10.6     1644     1610
abd_diag_preconditioner_do_assemble_kernel                       634.8     618.0     -16.8    -2.6     1452     1419
InfoStacklessBVHSimplexTrajectoryFilter_filter_active_k3_k       595.7     510.3     -85.4   -14.3     1901     1838
DeviceRadixSortOnesweepKernel                                    568.2     553.0     -15.2    -2.7    16550    16225
StrainLimitingBaraffWitkinShell2D_do_compute_gradient_hess       466.3     455.7     -10.6    -2.3     1452     1419
MASPreconditionerEngine_build_multi_level_R_kernel               341.7     314.6     -27.1    -7.9    50504    46710
ortho_potential_compute_gradient_hessian_kernel                  308.2     302.1      -6.0    -2.0     1452     1419
matrix_converter_radix_sort_indices_and_blocks_k3_kernel         298.9     287.6     -11.4    -3.8     1438     1405
fused_update_xr_kernel                                           241.2     221.8     -19.4    -8.0    49052    45292
StrainLimitingBaraffWitkinShell2D_do_compute_energy_kernel       239.4     231.2      -8.2    -3.4     1905     1842
TOTAL GPU kernel ms: old 28958 -> new 22704
