c0: 3 full runs
c1: 3 full runs

kernel                              us/launch old  us/launch new     delta   launches old/new
CCD narrow EE (filter_toi_k4)               826.4          110.4   -86.64 %   1659/1658   [823.9,828.1] vs [109.8,111.3]
CCD narrow PT (filter_toi_k3)               382.2           76.7   -79.93 %   1659/1658   [381.1,383.3] vs [76.5,77.0]
DCD narrow EE (filter_active_k4)            357.7           47.1   -86.85 %   2021/2036   [356.9,358.5] vs [47.0,47.1]
DCD narrow PT (filter_active_k3)            197.0           42.3   -78.51 %   2021/2036   [196.5,197.6] vs [42.3,42.4]
BVH traversal self                          941.4         1277.0   +35.65 %   1919/1912   [939.9,942.4] vs [1269.3,1284.3]
BVH traversal other                         443.6          513.8   +15.82 %   1921/1910   [442.9,445.0] vs [512.6,514.5]
BVH pairFilter self                        1104.7         2752.2  +149.14 %   1919/1912   [1100.7,1112.3] vs [2729.1,2779.7]
BVH pairFilter other                        471.0         1428.0  +203.20 %   1921/1910   [468.7,473.6] vs [1417.0,1441.0]

family (total ms)                             old            new     delta
TOTAL                                     43523.9        46470.9    +6.77 %
BVH/CCD                                    9693.8        12703.4   +31.05 %
other                                      9457.0         9453.7    -0.04 %
precond                                    7687.5         7666.9    -0.27 %
spmv                                       7560.4         7553.2    -0.10 %
contact assemble                           3632.1         3620.1    -0.33 %
cub/thrust                                 3545.7         3520.4    -0.71 %
energy                                     1070.6         1076.9    +0.58 %
membrane                                    536.0          538.3    +0.43 %
bending                                     340.7          338.0    -0.79 %
