c0: 3 full runs
c1: 3 full runs

kernel                              us/launch old  us/launch new     delta   launches old/new
CCD narrow EE (filter_toi_k4)              1227.6          177.3   -85.56 %   1411/1422   [1142.5,1315.7] vs [152.3,194.0]
CCD narrow PT (filter_toi_k3)               587.5          114.2   -80.55 %   1411/1422   [541.7,627.2] vs [105.5,120.5]
DCD narrow EE (filter_active_k4)            529.0           73.0   -86.20 %   1816/1847   [492.2,570.2] vs [65.6,78.3]
DCD narrow PT (filter_active_k3)            303.0           47.4   -84.36 %   1816/1847   [281.3,325.1] vs [44.6,49.8]
BVH traversal self                          936.0         1051.1   +12.30 %   1602/1615   [871.4,978.0] vs [1010.2,1104.4]
BVH traversal other                         417.6          406.2    -2.73 %   1603/1614   [404.4,439.6] vs [376.4,422.6]
BVH pairFilter self                        1023.4         2741.7  +167.90 %   1602/1615   [950.9,1079.2] vs [2388.4,3076.3]
BVH pairFilter other                        404.2         1396.7  +245.52 %   1603/1614   [376.3,423.5] vs [1226.6,1558.3]

family (total ms)                             old            new     delta
TOTAL                                     22711.2        23820.4    +4.88 %
BVH/CCD                                    8960.5         9986.0   +11.44 %
contact assemble                           4591.7         4480.3    -2.43 %
precond                                    2271.1         2376.2    +4.63 %
other                                      2193.3         2215.4    +1.01 %
cub/thrust                                 1524.1         1479.2    -2.94 %
spmv                                       1403.7         1501.7    +6.98 %
membrane                                    681.4          694.9    +1.99 %
bending                                     565.0          573.6    +1.52 %
energy                                      520.4          513.1    -1.42 %
