runs: ['A_1', 'A_10', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'A_7', 'A_8', 'A_9', 'Ap_1', 'Ap_10', 'Ap_2', 'Ap_3', 'Ap_4', 'Ap_5', 'Ap_6', 'Ap_7', 'Ap_8', 'Ap_9', 'App_1', 'App_2', 'App_3', 'App_4', 'App_5', 'B_1', 'B_10', 'B_2', 'B_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9'] frames: 181
 frame   EQUIV min   EQUIV med   EQUIV max   CROSS min   CROSS med   CROSS max      BB med
     1   4.491e-10   2.961e-08   8.594e-07   1.829e-07   1.832e-07   7.106e-07   1.848e-09
     2   9.308e-10   2.987e-08   8.596e-07   1.197e-07   1.258e-07   6.983e-07   4.914e-09
     3   2.062e-09   3.103e-08   8.598e-07   3.863e-07   3.910e-07   7.914e-07   8.637e-09
     4   4.155e-07   3.288e-05   7.865e-05   6.240e-05   8.552e-05   1.460e-04   8.890e-06
     5   1.849e-06   3.097e-04   5.953e-04   3.759e-04   7.442e-04   1.245e-03   1.282e-03
     6   2.652e-04   3.327e-03   8.240e-03   1.162e-03   4.081e-03   1.077e-02   6.510e-03
     8   2.744e-03   8.497e-03   2.715e-02   3.151e-03   9.192e-03   2.786e-02   9.975e-03
    10   3.440e-03   1.069e-02   3.224e-02   4.111e-03   1.086e-02   3.042e-02   1.194e-02
    15   4.585e-03   1.327e-02   2.782e-02   4.821e-03   1.222e-02   2.378e-02   1.179e-02
    20   4.835e-03   1.485e-02   2.998e-02   4.470e-03   1.412e-02   2.944e-02   1.364e-02
    30   4.616e-03   2.213e-02   4.782e-02   5.665e-03   2.109e-02   4.468e-02   2.370e-02
    45   1.257e-02   8.190e-02   2.584e-01   1.134e-02   8.304e-02   2.469e-01   9.295e-02
    60   2.830e-02   1.472e-01   3.389e-01   1.850e-02   1.636e-01   3.115e-01   1.719e-01
    90   2.173e-02   1.318e-01   3.293e-01   1.730e-02   1.453e-01   3.195e-01   1.732e-01
   120   3.220e-02   1.804e-01   4.428e-01   5.422e-02   2.119e-01   4.488e-01   2.416e-01
   150   2.521e-02   2.269e-01   3.919e-01   8.320e-02   2.470e-01   4.061e-01   2.554e-01
   180   3.272e-02   2.288e-01   3.570e-01   6.878e-02   2.359e-01   3.885e-01   2.393e-01

seed (frame 1 rms displacement, m) and growth
  AA     n= 45  f1 1.162e-09 [5.176e-10, 2.470e-09]   f3 6.991e-09   f8 6.709e-03   f45 6.193e-02
  ApAp   n= 45  f1 5.605e-08 [5.151e-10, 1.718e-07]   f3 5.587e-08   f8 8.463e-03   f45 1.061e-01
  AppApp n= 10  f1 5.165e-07 [1.460e-08, 8.594e-07]   f3 5.165e-07   f8 1.260e-02   f45 7.808e-02
  AAp    n=100  f1 4.018e-08 [4.491e-10, 1.375e-07]   f3 4.134e-08   f8 7.744e-03   f45 8.771e-02
  AApp   n=100  f1 5.287e-08 [1.033e-08, 6.947e-07]   f3 5.302e-08   f8 9.570e-03   f45 7.476e-02
  CROSS  n=250  f1 1.832e-07 [1.829e-07, 7.106e-07]   f3 3.910e-07   f8 9.192e-03   f45 8.304e-02
  BB     n= 45  f1 1.848e-09 [4.368e-10, 4.217e-09]   f3 8.637e-09   f8 9.975e-03   f45 9.295e-02
  e-folding rate frames 3->8: EQUIV 2.504/frame, CROSS 2.013/frame
  CROSS/EQUIV seed ratio at frame 3: 12.60  ->  equivalent head start 1.01 frames of a 180-frame run

frames where the CROSS *median* curve leaves the EQUIV [min,max] envelope: 2 of 181 -> [np.int64(4), np.int64(5)]
CROSS pairs with any frame outside the EQUIV envelope: 222 of 250
  A_1|B_1: 1 frames above, 0 below, final 3.2116e-01
  A_1|B_10: 2 frames above, 0 below, final 1.9659e-01
  A_1|B_2: 1 frames above, 0 below, final 2.1896e-01
  A_1|B_3: 1 frames above, 0 below, final 2.6332e-01
  A_1|B_4: 2 frames above, 0 below, final 2.9311e-01
  A_1|B_5: 2 frames above, 0 below, final 2.4529e-01
  A_1|B_6: 3 frames above, 0 below, final 3.7388e-01
  A_1|B_7: 1 frames above, 0 below, final 1.2810e-01
  A_1|B_8: 2 frames above, 0 below, final 3.0049e-01
  A_1|B_9: 1 frames above, 0 below, final 2.7793e-01
  A_10|B_1: 2 frames above, 0 below, final 1.4089e-01
  A_10|B_10: 3 frames above, 0 below, final 2.6594e-01
  A_10|B_2: 2 frames above, 0 below, final 2.2214e-01
  A_10|B_3: 2 frames above, 1 below, final 2.5424e-01
  A_10|B_4: 3 frames above, 31 below, final 1.5750e-01
  A_10|B_5: 3 frames above, 0 below, final 2.4732e-01
  A_10|B_6: 2 frames above, 0 below, final 2.9614e-01
  A_10|B_7: 2 frames above, 0 below, final 2.6753e-01
  A_10|B_8: 3 frames above, 0 below, final 2.6477e-01
  A_10|B_9: 2 frames above, 0 below, final 2.6888e-01
  A_2|B_1: 2 frames above, 0 below, final 2.8238e-01
  A_2|B_10: 2 frames above, 0 below, final 1.8374e-01
  A_2|B_2: 2 frames above, 0 below, final 2.4006e-01
  A_2|B_3: 2 frames above, 0 below, final 2.0646e-01
  A_2|B_4: 2 frames above, 0 below, final 2.4746e-01
  A_2|B_5: 2 frames above, 0 below, final 1.8662e-01
  A_2|B_6: 2 frames above, 0 below, final 3.1295e-01
  A_2|B_7: 2 frames above, 2 below, final 1.0585e-01
  A_2|B_8: 2 frames above, 0 below, final 2.5647e-01
  A_2|B_9: 4 frames above, 0 below, final 2.3700e-01
  A_3|B_1: 2 frames above, 0 below, final 1.6495e-01
  A_3|B_10: 2 frames above, 0 below, final 2.7181e-01
  A_3|B_2: 2 frames above, 0 below, final 2.3402e-01
  A_3|B_3: 2 frames above, 0 below, final 2.5593e-01
  A_3|B_4: 2 frames above, 13 below, final 1.7691e-01
  A_3|B_5: 2 frames above, 0 below, final 2.5530e-01
  A_3|B_6: 2 frames above, 0 below, final 3.0341e-01
  A_3|B_7: 2 frames above, 0 below, final 2.6832e-01
  A_3|B_8: 2 frames above, 1 below, final 2.6398e-01
  A_3|B_9: 4 frames above, 0 below, final 2.8393e-01
  A_4|B_1: 2 frames above, 0 below, final 6.8783e-02
  A_4|B_10: 3 frames above, 0 below, final 2.3842e-01
  A_4|B_2: 2 frames above, 0 below, final 1.8077e-01
  A_4|B_3: 2 frames above, 0 below, final 2.0442e-01
  A_4|B_4: 3 frames above, 0 below, final 8.1072e-02
  A_4|B_5: 3 frames above, 0 below, final 2.0996e-01
  A_4|B_6: 2 frames above, 0 below, final 3.2486e-01
  A_4|B_7: 2 frames above, 0 below, final 2.4967e-01
  A_4|B_8: 3 frames above, 0 below, final 2.9830e-01
  A_4|B_9: 2 frames above, 0 below, final 2.1995e-01
  A_5|B_10: 3 frames above, 0 below, final 2.1797e-01
  A_5|B_2: 1 frames above, 1 below, final 2.0852e-01
  A_5|B_3: 1 frames above, 0 below, final 1.2349e-01
  A_5|B_4: 2 frames above, 6 below, final 8.4263e-02
  A_5|B_5: 3 frames above, 0 below, final 1.3670e-01
  A_5|B_8: 3 frames above, 0 below, final 3.0336e-01
  A_6|B_1: 1 frames above, 0 below, final 2.0828e-01
  A_6|B_10: 3 frames above, 0 below, final 2.7300e-01
  A_6|B_2: 1 frames above, 0 below, final 2.4817e-01
  A_6|B_3: 10 frames above, 0 below, final 2.7486e-01
  A_6|B_4: 3 frames above, 0 below, final 2.0592e-01
