per-frame converged contact-pair count, arm medians over runs
      frames         A        Ap    R=A+Ap         B     B/R    A/Ap  p(B vs R)
    1-14         18947     20770     19823     19528   0.985   0.912     0.7749
   15-29         30872     34632     33295     34009   1.021   0.891     0.3671
   30-44         20760     23915     22597     21446   0.949   0.868     0.3222
   45-59         12292     12616     12552     12432   0.990   0.974     0.9825
   60-89         33407     32852     33407     36033   1.079   1.017     0.8431
   90-119        26082     25779     25966     24120   0.929   1.012     0.2437
  120-149        21323     25511     23852     21411   0.898   0.836     0.2099
  150-180        29794     32222     31863     23504   0.738   0.925     0.0078
  135-180        30119     32285     30581     21996   0.719   0.933     0.0060
    1-180        25176     27331     26510     23976   0.904   0.921     0.0263

same, for the *within-R* split (A vs Ap) -- the null's own frame-resolved behaviour
