rwb, full 120-frame trace, arm a2.  40 SMs.  kernel-duration sum 3056 ms
      ms      %      n  us/launch  grid med  grid p90  kernel
   622.4  20.37    456     1365.0        24        31  contact_part1
   233.5   7.64    922      253.2        73       611  abd_linear_subsystem_assemble_dytopo_effect_pa
   228.7   7.48    592      386.3       110       110  InfoStacklessBVH_stacklessSelf_kernel<
   200.7   6.57   2088       96.1        39       335  InfoStacklessBVHSimplexTrajectoryFilter_filter
   177.3   5.80    456      388.9        27        62  contact_part2
   170.2   5.57   1180      144.3      1398      1772  InfoStacklessBVH_pairFilter_kernel<
   169.2   5.54    465      363.9        18        18  abd_diag_preconditioner_do_assemble_kernel
   152.5   4.99    465      328.0        18        18  ortho_potential_compute_gradient_hessian_kerne
   133.4   4.37    455      293.3       432       577  do_assemble_kernel<
   121.5   3.98  12675        9.6       123       187  Spmv_rbk_sym_spmv_dot_chunked_kernel<
   104.1   3.41    588      177.1        41        41  InfoStacklessBVH_stacklessOther_kernel<
    76.8   2.51   5514       13.9        13        91  Policy900, 
    51.8   1.69    461      112.3       104       176  abd_linear_subsystem_assemble_dytopo_effect_k1
    45.4   1.49   1163       39.0       279       538  do_compute_energy_k3_kernel
    36.2   1.18  13140        2.8        27        27  abd_diag_preconditioner_do_apply_lanes_kernel
    31.1   1.02   1166       26.7       155       208  do_compute_energy_k2_kernel
