stiff-gipc-case2, full 250-frame run at s13 head with UIPC_SPMV_GRID_FIT=0 (= main's geometry),
cuda_gpu_kern_sum. Per-kernel numbers only -- scene totals are retired (s10).
kernel duration sum 41640.5 ms

       ms      %      n  us/launch  kernel
   7576.9  0.00%  64345     117.8  void uipc::backend::cuda::<unnamed>::Spmv_rbk_sym_spmv_dot_chunked_kernel<(int)1, (int)0>(do
   4710.6  0.00%   1662    2834.3  void uipc::backend::cuda::<unnamed>::StableNeoHookean3D_do_compute_gradient_hessian_kernel_o
   3516.3  0.00%  66007      53.3  uipc::backend::cuda::<unnamed>::MASPreconditionerEngine_schwarz_local_solve_rowdot_kernel(ui
   2097.2  0.00%   1922    1091.2  void uipc::backend::cuda::<unnamed>::InfoStacklessBVH_pairFilter_kernel<(bool)1, uipc::backe
   1954.7  0.00%   1662    1176.1  void uipc::backend::cuda_tool::<unnamed>::fast_segmental_reduce_matrix_kernel<(int)128, (int
   1789.7  0.00%   1922     931.2  void uipc::backend::cuda::<unnamed>::InfoStacklessBVH_stacklessSelf_kernel<(bool)1, (bool)0,
   1495.1  0.00%  66007      22.7  uipc::backend::cuda::<unnamed>::MASPreconditionerEngine_build_multi_level_R_kernel(uipc::bac
   1421.3  0.00%   1662     855.2  void uipc::backend::cuda::<unnamed>::do_assemble_kernel<(bool)0, (int)1, (bool)1, (bool)1, (
   1375.5  0.00%   1662     827.6  void uipc::backend::cuda::<unnamed>::InfoStacklessBVHSimplexTrajectoryFilter_filter_toi_k4_k
   1033.1  0.00%   6648     155.4  void cub::CUB_200700_750_NS::DeviceRadixSortOnesweepKernel<cub::CUB_200700_750_NS::DeviceRad
    956.1  0.00%  64345      14.9  uipc::backend::cuda::<unnamed>::fused_update_xr_kernel(uipc::backend::cuda_tool::CDense<doub
    905.2  0.00%   1662     544.6  uipc::backend::cuda::<unnamed>::FEMLinearSubsystem_assemble_dytopo_effect_k2_kernel(uipc::ba
    892.5  0.00%   1923     464.1  void uipc::backend::cuda::<unnamed>::InfoStacklessBVH_pairFilter_kernel<(bool)0, uipc::backe
    873.5  0.00%   1662     525.6  uipc::backend::cuda::<unnamed>::MASPreconditionerEngine_invert_cluster_matrices_sweep_kernel
    845.0  0.00%   1923     439.4  void uipc::backend::cuda::<unnamed>::InfoStacklessBVH_stacklessOther_kernel<(bool)1, uipc::b
    830.3  0.00%  66007      12.6  uipc::backend::cuda::<unnamed>::fused_dot_kernel(uipc::backend::cuda_tool::DenseVectorViewT<
    714.3  0.00%   1662     429.8  void uipc::backend::cuda::<unnamed>::do_assemble_kernel<(bool)0, (int)2, (bool)0, (bool)0, (
    663.3  0.00%   1662     399.1  uipc::backend::cuda::<unnamed>::MASPreconditionerEngine_scatter_hessian_to_clusters_k1_agg_k
    653.3  0.00%  66007       9.9  uipc::backend::cuda::<unnamed>::MASPreconditionerEngine_collect_final_Z_kernel(uipc::backend
    634.4  0.00%   1662     381.7  void uipc::backend::cuda::<unnamed>::InfoStacklessBVHSimplexTrajectoryFilter_filter_toi_k3_k
