EQUIV  n=105 seed(f1) med=1.628e-06 max=1.121e-04 efolds/frame=1.500 sat(last40) mean=0.0057 [0.0016, 0.0100]
CROSS  n=150 seed(f1) med=9.312e-06 max=1.128e-04 efolds/frame=1.367 sat(last40) mean=0.0050 [0.0023, 0.0080]
wA     n= 45 seed(f1) med=1.453e-06 max=3.346e-06 efolds/frame=1.678 sat(last40) mean=0.0052 [0.0016, 0.0090]
wAp    n= 10 seed(f1) med=3.632e-06 max=1.121e-04 efolds/frame=1.763 sat(last40) mean=0.0067 [0.0037, 0.0095]
xAp    n= 50 seed(f1) med=2.081e-06 max=1.121e-04 efolds/frame=1.499 sat(last40) mean=0.0060 [0.0022, 0.0100]
xAB    n=100 seed(f1) med=9.360e-06 max=1.083e-05 efolds/frame=1.366 sat(last40) mean=0.0048 [0.0023, 0.0080]
xApB   n= 50 seed(f1) med=9.135e-06 max=1.128e-04 efolds/frame=1.368 sat(last40) mean=0.0052 [0.0027, 0.0078]
wB     n= 45 seed(f1) med=1.973e-06 max=2.507e-06 efolds/frame=1.672 sat(last40) mean=0.0039 [0.0022, 0.0057]

VERDICT INPUTS
  (i)   seed: CROSS med 9.312e-06 vs 3x EQUIV max 3.364e-04 -> PASS
  (ii)  growth ratio CROSS/EQUIV = 0.912 in [0.5, 2.0] -> PASS
  (iii) saturation ratio CROSS/EQUIV = 0.869 in [0.5, 2.0] -> PASS
  (iv)  frame-wise: CROSS med <= 2x EQUIV p95 from frame 8: 0 violating frames of 123, max ratio 0.637 -> PASS

per-frame table (median [p05,p95] per family, every 10th frame + first 8):
 frame        EQUIV                 CROSS                wB
    0  4.458e-09 [7.0e-07]  0.000e+00 [7.0e-07]  0.000e+00
    1  1.628e-06 [1.1e-04]  9.312e-06 [1.1e-04]  1.973e-06
    2  8.507e-06 [4.5e-04]  1.275e-05 [4.4e-04]  5.677e-07
    3  6.325e-06 [1.2e-03]  2.241e-05 [1.2e-03]  4.370e-07
    4  2.153e-06 [2.4e-03]  1.314e-05 [2.4e-03]  1.036e-06
    5  7.960e-05 [4.4e-03]  5.602e-05 [4.4e-03]  4.453e-05
    6  1.131e-03 [6.9e-03]  8.317e-04 [6.8e-03]  7.580e-04
    7  1.310e-03 [8.9e-03]  1.084e-03 [8.8e-03]  8.874e-04
    8  2.296e-03 [8.7e-03]  1.863e-03 [8.5e-03]  1.612e-03
   18  1.092e-03 [7.1e-03]  9.741e-04 [7.0e-03]  9.207e-04
   28  1.088e-02 [1.9e-02]  8.814e-03 [1.9e-02]  7.093e-03
   38  4.202e-03 [7.7e-03]  3.639e-03 [7.1e-03]  3.305e-03
   48  4.685e-03 [8.2e-03]  3.885e-03 [7.5e-03]  3.535e-03
   58  6.012e-03 [8.4e-03]  4.600e-03 [7.5e-03]  4.134e-03
   68  6.066e-03 [8.3e-03]  4.784e-03 [7.3e-03]  4.143e-03
   78  6.200e-03 [8.2e-03]  5.071e-03 [7.0e-03]  3.781e-03
   88  5.586e-03 [8.4e-03]  4.990e-03 [7.0e-03]  3.713e-03
   98  5.659e-03 [8.6e-03]  5.037e-03 [7.2e-03]  3.729e-03
  108  5.769e-03 [8.8e-03]  5.039e-03 [7.4e-03]  3.849e-03
  118  5.712e-03 [8.9e-03]  5.179e-03 [7.4e-03]  3.809e-03
  128  5.727e-03 [8.9e-03]  5.176e-03 [7.5e-03]  3.918e-03
  130  5.731e-03 [8.9e-03]  5.181e-03 [7.5e-03]  3.933e-03
