Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.6,10929130605,11991,911444.5,600060.0,2896,25770018,1591570.6,cudaStreamSynchronize
3.8,452611464,47274,9574.2,3607.0,1182,258538035,1189207.5,cudaLaunchKernel
3.2,387027552,7467,51831.7,50616.0,46559,1690632,27007.4,cudaGraphLaunch_v10000
1.4,163747607,855,191517.7,3967.0,2094,17296741,997411.8,cudaFree
0.5,64499360,16085,4009.9,3527.0,2655,403907,6798.2,cudaMemcpyAsync
0.3,35922270,1279,28086.2,4339.0,1864,1078730,62143.1,cudaMalloc
0.2,19549955,5446,3589.8,3467.0,2254,36089,1106.0,cudaMemsetAsync
0.0,3736348,1338,2792.5,2515.0,2104,9719,759.0,cudaEventRecord
0.0,1648319,448,3679.3,3952.5,2695,9859,929.5,cudaMemset
0.0,1550566,1,1550566.0,1550566.0,1550566,1550566,0.0,cudaHostAlloc
0.0,1351381,1338,1010.0,1032.0,591,5300,298.8,cudaStreamWaitEvent
0.0,1118719,224,4994.3,4699.0,4448,8706,777.4,cudaMemcpy
0.0,1087796,1,1087796.0,1087796.0,1087796,1087796,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1015038,8,126879.8,124561.5,116301,140868,9263.3,cudaGraphInstantiateWithFlags_v11040
0.0,893058,24,37210.8,5010.0,1032,90823,39797.3,cudaDeviceSynchronize
0.0,211902,7,30271.7,24526.0,21551,43111,9087.2,cudaGraphExecDestroy_v10000
0.0,74141,7,10591.6,11401.0,7084,15239,3352.7,cudaGraphDestroy_v10000
0.0,71229,419,170.0,130.0,80,5120,256.3,cuGetProcAddress_v2
0.0,41420,5,8284.0,5010.0,3667,19427,6463.8,cudaStreamCreateWithFlags
0.0,30037,1,30037.0,30037.0,30037,30037,0.0,cudaMemGetInfo
0.0,14077,8,1759.6,1698.0,1413,2264,362.0,cudaStreamBeginCapture_v10000
0.0,12484,8,1560.5,1548.0,1192,2034,241.7,cudaStreamEndCapture_v10000
0.0,5560,6,926.7,676.5,310,2004,714.6,cudaEventCreateWithFlags
0.0,2445,1,2445.0,2445.0,2445,2445,0.0,cuInit
0.0,1212,2,606.0,606.0,110,1102,701.4,cuModuleGetLoadingMode
