Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.5,2032648083,8400,241981.9,81795.0,1192,4578929,389290.1,cudaStreamSynchronize
16.5,463644843,57870,8011.8,3476.0,1102,244225147,1015265.2,cudaLaunchKernel
3.8,105691745,2036,51911.5,49163.0,47390,1534826,46522.1,cudaGraphLaunch_v10000
2.8,78267397,1416,55273.6,4664.0,1243,3814566,202931.2,cudaFree
2.0,56376014,14417,3910.4,3507.0,2625,347961,4115.4,cudaMemcpyAsync
1.0,28855097,1416,20377.9,4513.5,1693,236840,32588.0,cudaMalloc
0.8,22964245,7079,3244.0,3286.0,2175,30708,822.6,cudaMemsetAsync
0.2,4325342,1630,2653.6,2595.0,2054,8636,489.8,cudaEventRecord
0.1,2204708,634,3477.5,3767.0,2535,9799,847.4,cudaMemset
0.1,1577537,1630,967.8,981.0,601,5491,220.1,cudaStreamWaitEvent
0.1,1511151,1,1511151.0,1511151.0,1511151,1511151,0.0,cudaHostAlloc
0.1,1481431,317,4673.3,4509.0,4238,10580,747.9,cudaMemcpy
0.0,1006442,1,1006442.0,1006442.0,1006442,1006442,0.0,cudaGetDeviceProperties_v2_v12000
0.0,780207,121,6448.0,3076.0,1082,19186,6073.7,cudaDeviceSynchronize
0.0,668600,5,133720.0,132161.0,126540,146489,7724.5,cudaGraphInstantiateWithFlags_v11040
0.0,204418,5,40883.6,38593.0,35637,53682,7257.1,cudaGraphExecDestroy_v10000
0.0,74983,5,14996.6,14678.0,13676,16301,1056.4,cudaGraphDestroy_v10000
0.0,41839,5,8367.8,5240.0,2955,20148,6880.3,cudaStreamCreateWithFlags
0.0,17112,5,3422.4,3808.0,2304,4128,802.0,cudaStreamDestroy
0.0,10500,5,2100.0,2084.0,1973,2375,164.3,cudaStreamBeginCapture_v10000
0.0,8776,5,1755.2,1703.0,1563,2024,169.9,cudaStreamEndCapture_v10000
0.0,6243,6,1040.5,871.5,351,2165,729.4,cudaEventCreateWithFlags
0.0,4829,6,804.8,701.5,320,1753,529.2,cudaEventDestroy
0.0,1172,1,1172.0,1172.0,1172,1172,0.0,cuModuleGetLoadingMode
