Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.0,12085915278,13339,906058.6,588698.0,1112,37898616,1591518.1,cudaStreamSynchronize
3.4,449446299,50399,8917.8,3477.0,1172,251587642,1120778.4,cudaLaunchKernel
3.2,427744132,8529,50151.7,49284.0,46037,1579040,19051.2,cudaGraphLaunch_v10000
1.4,181152832,860,210642.8,4042.5,2044,15564589,1076545.4,cudaFree
0.5,68909922,17685,3896.5,3407.0,2545,421832,7017.9,cudaMemcpyAsync
0.3,37206765,1284,28977.2,4313.0,1964,1083538,68554.3,cudaMalloc
0.1,19835696,5761,3443.1,3327.0,2184,26100,986.7,cudaMemsetAsync
0.0,3875605,1428,2714.0,2444.0,1944,30428,1010.2,cudaEventRecord
0.0,1652668,478,3457.5,3817.0,2494,10771,860.3,cudaMemset
0.0,1551798,1,1551798.0,1551798.0,1551798,1551798,0.0,cudaHostAlloc
0.0,1367408,1428,957.6,962.0,601,6983,273.5,cudaStreamWaitEvent
0.0,1139945,239,4769.6,4489.0,4248,18636,1143.5,cudaMemcpy
0.0,1021441,8,127680.1,127372.0,116501,138664,7840.0,cudaGraphInstantiateWithFlags_v11040
0.0,986204,1,986204.0,986204.0,986204,986204,0.0,cudaGetDeviceProperties_v2_v12000
0.0,915762,24,38156.8,4704.0,1002,95301,40728.0,cudaDeviceSynchronize
0.0,201461,7,28780.1,24636.0,22312,49364,9693.4,cudaGraphExecDestroy_v10000
0.0,73541,419,175.5,130.0,70,5661,282.6,cuGetProcAddress_v2
0.0,66896,7,9556.6,8185.0,6953,15630,3190.4,cudaGraphDestroy_v10000
0.0,40597,5,8119.4,5059.0,3206,19046,6370.5,cudaStreamCreateWithFlags
0.0,27833,1,27833.0,27833.0,27833,27833,0.0,cudaMemGetInfo
0.0,13085,8,1635.6,1528.0,1282,2245,347.3,cudaStreamEndCapture_v10000
0.0,12575,8,1571.9,1422.5,1323,2144,304.7,cudaStreamBeginCapture_v10000
0.0,5287,6,881.2,610.5,290,1873,681.1,cudaEventCreateWithFlags
0.0,2024,1,2024.0,2024.0,2024,2024,0.0,cuInit
0.0,1082,2,541.0,541.0,120,962,595.4,cuModuleGetLoadingMode
