== scope_old_r1: total GPU 30.50 s
   k3_staging         inst=    548 avg=   1175.7us tot=   644.3ms
   k1_hash            inst=    548 avg=    101.8us tot=    55.8ms
   k2_unpack          inst=   1099 avg=     55.5us tot=    61.0ms
   zero_cross         inst=   1099 avg=     27.7us tot=    30.4ms
   zero_cross         inst=    548 avg=      8.2us tot=     4.5ms
   radix_sort_cub     inst=   4392 avg=    108.0us tot=   474.3ms
   radix_sort_cub     inst=   1094 avg=    176.1us tot=   192.6ms
   radix_sort_cub     inst=   1098 avg=     37.0us tot=    40.6ms
   radix_sort_cub     inst=   1620 avg=     17.5us tot=    28.4ms
   radix_sort_cub     inst=    547 avg=     14.5us tot=     8.0ms
   radix_sort_cub     inst=    405 avg=     10.8us tot=     4.4ms
   radix_sort_cub     inst=   1098 avg=      1.7us tot=     1.8ms
   radix_sort_cub     inst=    288 avg=      3.5us tot=     1.0ms
   radix_sort_cub     inst=    547 avg=      1.6us tot=     0.9ms
   radix_sort_cub     inst=    405 avg=      1.3us tot=     0.5ms
   radix_sort_cub     inst=      1 avg=      7.0us tot=     0.0ms
   other_segred       inst=    548 avg=    987.8us tot=   541.3ms
   other_segred       inst=    551 avg=    364.9us tot=   201.0ms
   other_segred       inst=    548 avg=    239.6us tot=   131.3ms
   ctl_spmv           inst= 105740 avg=     66.2us tot=  6999.0ms
   ctl_assemble       inst=    548 avg=   5450.0us tot=  2986.6ms
   ctl_assemble       inst=    544 avg=   2043.3us tot=  1111.6ms
   ctl_assemble       inst=    548 avg=   1301.5us tot=   713.2ms
   ctl_assemble       inst=    551 avg=    552.8us tot=   304.6ms
   ctl_assemble       inst=    174 avg=     39.5us tot=     6.9ms
   ctl_assemble       inst=    163 avg=     28.9us tot=     4.7ms
   FAMILY TOTAL 2422 ms = 7.94 % of GPU
== scope_new_r1: total GPU 30.80 s
   k1_hash            inst=    543 avg=    102.6us tot=    55.7ms
   k2_unpack          inst=   1089 avg=     55.1us tot=    60.0ms
   zero_cross         inst=   1089 avg=     27.2us tot=    29.7ms
   zero_cross         inst=    543 avg=      8.0us tot=     4.3ms
   radix_sort_cub     inst=   4352 avg=    105.0us tot=   457.1ms
   radix_sort_cub     inst=   1084 avg=    169.1us tot=   183.3ms
   radix_sort_cub     inst=   1088 avg=     36.6us tot=    39.8ms
   radix_sort_cub     inst=   1620 avg=     17.3us tot=    28.0ms
   radix_sort_cub     inst=    542 avg=     14.1us tot=     7.7ms
   radix_sort_cub     inst=    405 avg=     10.6us tot=     4.3ms
   radix_sort_cub     inst=   1088 avg=      1.7us tot=     1.8ms
   radix_sort_cub     inst=    324 avg=      3.4us tot=     1.1ms
   radix_sort_cub     inst=    542 avg=      1.6us tot=     0.9ms
   radix_sort_cub     inst=    405 avg=      1.3us tot=     0.5ms
   radix_sort_cub     inst=      1 avg=      7.0us tot=     0.0ms
   other_segred       inst=   1089 avg=    653.9us tot=   712.1ms
   other_segred       inst=    543 avg=    229.5us tot=   124.6ms
   ctl_spmv           inst= 119830 avg=     66.1us tot=  7926.7ms
   ctl_assemble       inst=    543 avg=   5285.4us tot=  2870.0ms
   ctl_assemble       inst=    539 avg=   2004.9us tot=  1080.7ms
   ctl_assemble       inst=    543 avg=   1242.0us tot=   674.4ms
   ctl_assemble       inst=    546 avg=    541.3us tot=   295.6ms
   ctl_assemble       inst=    167 avg=     37.8us tot=     6.3ms
   ctl_assemble       inst=    165 avg=     28.2us tot=     4.7ms
