== scope_old_r1: total GPU 31.72 s, Newton 577
   onesweep_int_M31_OLD inst=   1146 avg=    165.4us tot=   189.5ms 328.461 ms/newton
   hist_int_M31_OLD     inst=    573 avg=     14.0us tot=     8.0ms  13.856 ms/newton
   excl_int_M31_OLD     inst=    573 avg=      1.6us tot=     0.9ms   1.580 ms/newton
   rle_int              inst=    574 avg=     16.9us tot=     9.7ms  16.784 ms/newton
   mk_uniq_vec_k1       inst=    574 avg=      1.2us tot=     0.7ms   1.225 ms/newton
   mk_uniq_seg_k1       inst=    574 avg=      2.7us tot=     1.6ms   2.696 ms/newton
   reduce31_STAGED      inst=    574 avg=    224.5us tot=   128.9ms 223.372 ms/newton
   zero_cross31         inst=    574 avg=      7.7us tot=     4.4ms   7.661 ms/newton
   conv_other           inst=   1151 avg=    643.7us tot=   740.9ms 1284.139 ms/newton
   conv_other           inst=   4600 avg=    103.3us tot=   475.2ms 823.497 ms/newton
   conv_other           inst=   1151 avg=     54.3us tot=    62.4ms 108.230 ms/newton
   conv_other           inst=    574 avg=     99.1us tot=    56.9ms  98.608 ms/newton
   conv_other           inst=   1150 avg=     36.1us tot=    41.5ms  71.875 ms/newton
   conv_other           inst=    577 avg=     56.5us tot=    32.6ms  56.548 ms/newton
   conv_other           inst=   1151 avg=     26.7us tot=    30.7ms  53.269 ms/newton
   conv_other           inst=   1620 avg=     17.3us tot=    28.0ms  48.559 ms/newton
   conv_other           inst=   1151 avg=     14.7us tot=    17.0ms  29.414 ms/newton
   conv_other           inst=    577 avg=     24.2us tot=    14.0ms  24.201 ms/newton
   conv_other           inst=   1151 avg=      4.4us tot=     5.1ms   8.841 ms/newton
   conv_other           inst=    405 avg=     10.6us tot=     4.3ms   7.449 ms/newton
   conv_other           inst=   1150 avg=      1.7us tot=     1.9ms   3.302 ms/newton
   conv_other           inst=    328 avg=      3.4us tot=     1.1ms   1.934 ms/newton
   conv_other           inst=    405 avg=      1.3us tot=     0.5ms   0.930 ms/newton
   conv_other           inst=      1 avg=      7.0us tot=     0.0ms   0.012 ms/newton
   ctl_spmv             inst= 123790 avg=     64.6us tot=  8001.8ms 13867.984 ms/newton
   ctl_assemble         inst=    574 avg=   5166.8us tot=  2965.8ms 5139.966 ms/newton
   ctl_assemble         inst=    570 avg=   1945.0us tot=  1108.7ms 1921.406 ms/newton
   ctl_assemble         inst=    574 avg=   1227.8us tot=   704.7ms 1221.385 ms/newton
   ctl_assemble         inst=    577 avg=    541.7us tot=   312.6ms 541.727 ms/newton
   ctl_assemble         inst=    176 avg=     38.4us tot=     6.8ms  11.721 ms/newton
