('k2', '3x1', 24, 0) 2
('k2', '3x1', 32, 0) 4
('k2', '3x3', 35, 0) 2
('k2', '3x3', 36, 0) 2
('k2', '3x3', 48, 0) 8
('ks', '3x1', 42, 0) 2
('ks', '3x1', 51, 0) 1
('ks', '3x1', 52, 0) 1
('ks', '3x3', 86, 0) 4
('ks', '3x3', 106, 0) 8
('old', '3x1', 10, 0) 2
('old', '3x1', 14, 0) 1
('old', '3x1', 24, 0) 2
('old', '3x1', 38, 0) 1
('old', '3x3', 10, 0) 4
('old', '3x3', 26, 0) 2
('old', '3x3', 36, 0) 2
('old', '3x3', 46, 0) 4
('old', '?', 6, 0) 2
('old', '?', 10, 0) 2
('old', '?', 13, 0) 7
('old', '?', 24, 0) 4
('old', '?', 128, 0) 1
