Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.3,11891707504,15783,753450.4,564762.0,1142,18217589,1282782.7,cudaStreamSynchronize
6.4,860563147,158654,5424.2,3266.0,1102,303643087,762354.1,cudaLaunchKernel
2.8,376648679,7336,51342.5,50486.0,47430,1579288,25627.5,cudaGraphLaunch_v10000
1.4,191638434,857,223615.4,3917.0,1983,31639565,1380160.0,cudaFree
0.6,76914537,20156,3816.0,3437.0,2625,414867,5771.2,cudaMemcpyAsync
0.3,36830360,1280,28773.7,4223.0,1793,1077926,69436.0,cudaMalloc
0.1,19884000,5765,3449.1,3317.0,2154,35107,1034.3,cudaMemsetAsync
0.0,3828673,1428,2681.1,2445.0,2074,13987,686.2,cudaEventRecord
0.0,1694596,478,3545.2,3862.5,2554,11402,969.7,cudaMemset
0.0,1553739,1,1553739.0,1553739.0,1553739,1553739,0.0,cudaHostAlloc
0.0,1399045,1428,979.7,1011.0,581,6532,305.2,cudaStreamWaitEvent
0.0,1189436,239,4976.7,4659.0,4428,10289,850.8,cudaMemcpy
0.0,999667,1,999667.0,999667.0,999667,999667,0.0,cudaGetDeviceProperties_v2_v12000
0.0,944693,24,39362.2,4253.0,1002,97405,42183.4,cudaDeviceSynchronize
0.0,841438,7,120205.4,117483.0,112052,137732,8393.3,cudaGraphInstantiateWithFlags_v11040
0.0,175824,6,29304.0,28043.5,24086,39214,5288.9,cudaGraphExecDestroy_v10000
0.0,75992,419,181.4,131.0,90,5310,266.5,cuGetProcAddress_v2
0.0,62340,6,10390.0,10184.5,7464,15460,2815.6,cudaGraphDestroy_v10000
0.0,42430,5,8486.0,5450.0,2855,20409,6955.1,cudaStreamCreateWithFlags
0.0,30158,1,30158.0,30158.0,30158,30158,0.0,cudaMemGetInfo
0.0,12292,7,1756.0,1683.0,1362,2114,289.2,cudaStreamBeginCapture_v10000
0.0,10902,7,1557.4,1533.0,1252,1964,246.3,cudaStreamEndCapture_v10000
0.0,5468,6,911.3,640.5,331,1793,693.3,cudaEventCreateWithFlags
0.0,2715,1,2715.0,2715.0,2715,2715,0.0,cuInit
0.0,1052,2,526.0,526.0,91,961,615.2,cuModuleGetLoadingMode
