Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
85.2,6793011019,5193,1308109.2,267518.0,2976,17346523,2223105.5,cudaStreamSynchronize
6.4,506789374,54926,9226.8,3506.0,1092,294514301,1256673.3,cudaLaunchKernel
4.7,377722009,7464,50605.8,49664.0,45105,1710448,28327.4,cudaGraphLaunch_v10000
2.3,183654972,841,218376.9,3837.0,1923,13953719,1092331.3,cudaFree
0.5,40572738,9840,4123.2,3797.0,2595,53331,1986.9,cudaMemcpyAsync
0.4,35181050,1265,27811.1,4238.0,1784,1077837,63443.9,cudaMalloc
0.3,21149470,6093,3471.1,3356.0,2184,34907,1022.7,cudaMemsetAsync
0.1,4148135,1524,2721.9,2515.0,2084,9989,671.1,cudaEventRecord
0.0,1795048,510,3519.7,3857.5,2525,7745,803.3,cudaMemset
0.0,1588176,2,794088.0,794088.0,5320,1582856,1115486.4,cudaHostAlloc
0.0,1470428,1524,964.8,1002.0,571,2855,250.0,cudaStreamWaitEvent
0.0,1305965,255,5121.4,4729.0,4478,39355,2269.0,cudaMemcpy
0.0,1209452,24,50393.8,4814.0,1092,371846,79261.8,cudaDeviceSynchronize
0.0,984169,1,984169.0,984169.0,984169,984169,0.0,cudaGetDeviceProperties_v2_v12000
0.0,952709,8,119088.6,110409.5,108796,148613,14661.2,cudaGraphInstantiateWithFlags_v11040
0.0,203326,7,29046.6,24606.0,20168,51829,10913.3,cudaGraphExecDestroy_v10000
0.0,77779,419,185.6,140.0,90,5421,272.3,cuGetProcAddress_v2
0.0,63662,7,9094.6,8115.0,5781,14077,3499.4,cudaGraphDestroy_v10000
0.0,39807,5,7961.4,4970.0,3186,18195,6042.9,cudaStreamCreateWithFlags
0.0,30458,1,30458.0,30458.0,30458,30458,0.0,cudaMemGetInfo
0.0,13015,8,1626.9,1568.0,1253,2144,338.6,cudaStreamBeginCapture_v10000
0.0,11702,8,1462.8,1503.0,1093,1853,293.9,cudaStreamEndCapture_v10000
0.0,5138,6,856.3,611.0,310,1693,649.0,cudaEventCreateWithFlags
0.0,2475,1,2475.0,2475.0,2475,2475,0.0,cuInit
0.0,1111,2,555.5,555.5,140,971,587.6,cuModuleGetLoadingMode
