Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.2,11124848854,12677,877561.6,574822.0,1313,21364914,1450891.1,cudaStreamSynchronize
4.2,511869479,53010,9656.1,3587.0,1222,299210290,1299600.0,cudaLaunchKernel
3.2,397429341,7645,51985.5,51057.0,46970,1708735,26213.1,cudaGraphLaunch_v10000
1.3,160003643,868,184336.0,4013.0,2034,16619432,935727.5,cudaFree
0.6,68430800,17197,3979.2,3517.0,2645,404599,5344.9,cudaMemcpyAsync
0.3,36170449,1292,27995.7,4378.0,1774,1078579,60011.9,cudaMalloc
0.2,21093908,5946,3547.6,3416.0,2214,34345,1016.0,cudaMemsetAsync
0.0,4083277,1482,2755.2,2475.0,2074,10610,701.0,cudaEventRecord
0.0,1811837,496,3652.9,3847.0,2595,14017,1056.9,cudaMemset
0.0,1580572,1,1580572.0,1580572.0,1580572,1580572,0.0,cudaHostAlloc
0.0,1469080,1482,991.3,992.0,621,5992,270.7,cudaStreamWaitEvent
0.0,1243901,248,5015.7,4719.0,4419,16221,1018.0,cudaMemcpy
0.0,1064852,1,1064852.0,1064852.0,1064852,1064852,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1018013,8,127251.6,128073.0,115650,135458,6509.4,cudaGraphInstantiateWithFlags_v11040
0.0,876411,24,36517.1,5775.5,1092,89250,38690.3,cudaDeviceSynchronize
0.0,225499,7,32214.1,23705.0,21841,51759,13237.4,cudaGraphExecDestroy_v10000
0.0,73719,7,10531.3,8245.0,6262,16091,4344.3,cudaGraphDestroy_v10000
0.0,72249,419,172.4,130.0,80,4909,246.9,cuGetProcAddress_v2
0.0,42379,5,8475.8,5951.0,2965,19467,6486.7,cudaStreamCreateWithFlags
0.0,29235,1,29235.0,29235.0,29235,29235,0.0,cudaMemGetInfo
0.0,18487,8,2310.9,1923.5,1353,5922,1507.5,cudaStreamBeginCapture_v10000
0.0,11983,8,1497.9,1362.5,1132,2285,402.7,cudaStreamEndCapture_v10000
0.0,5461,6,910.2,696.5,291,1824,678.7,cudaEventCreateWithFlags
0.0,2696,1,2696.0,2696.0,2696,2696,0.0,cuInit
0.0,1041,2,520.5,520.5,100,941,594.7,cuModuleGetLoadingMode
