Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.0,5901067176,4397,1342066.7,272017.0,2966,18311876,2280254.3,cudaStreamSynchronize
6.8,480528216,45888,10471.8,3547.0,1112,296811029,1385595.7,cudaLaunchKernel
5.7,404051134,7975,50664.7,49324.0,45838,1592406,20730.5,cudaGraphLaunch_v10000
3.1,222859647,858,259743.2,4002.5,2054,32323839,1539557.3,cudaFree
0.5,36646739,1282,28585.6,4258.0,1773,1081245,66479.9,cudaMalloc
0.5,35293415,8378,4212.6,3777.0,2595,43883,2125.6,cudaMemcpyAsync
0.3,19217510,5295,3629.4,3396.0,2204,386515,5468.7,cudaMemsetAsync
0.1,5358447,1296,4134.6,2485.0,2054,1765105,48959.8,cudaEventRecord
0.0,1613597,2,806798.5,806798.5,5831,1607766,1132739.1,cudaHostAlloc
0.0,1560037,434,3594.6,3843.0,2615,8556,837.1,cudaMemset
0.0,1298766,1296,1002.1,992.0,611,5310,308.0,cudaStreamWaitEvent
0.0,1093581,217,5039.5,4619.0,4308,10009,982.8,cudaMemcpy
0.0,1017084,8,127135.5,129651.5,113857,139846,11777.2,cudaGraphInstantiateWithFlags_v11040
0.0,1003297,1,1003297.0,1003297.0,1003297,1003297,0.0,cudaGetDeviceProperties_v2_v12000
0.0,871427,24,36309.5,3421.5,1022,92897,38881.7,cudaDeviceSynchronize
0.0,234746,7,33535.1,25318.0,22112,59003,13935.5,cudaGraphExecDestroy_v10000
0.0,79343,419,189.4,121.0,70,9078,497.6,cuGetProcAddress_v2
0.0,72248,7,10321.1,8486.0,6282,15399,3724.3,cudaGraphDestroy_v10000
0.0,40917,5,8183.4,5200.0,2815,18836,6349.2,cudaStreamCreateWithFlags
0.0,28494,1,28494.0,28494.0,28494,28494,0.0,cudaMemGetInfo
0.0,15231,8,1903.9,1908.5,1283,2495,477.3,cudaStreamBeginCapture_v10000
0.0,13744,8,1718.0,1582.5,1332,2655,455.9,cudaStreamEndCapture_v10000
0.0,5621,6,936.8,661.5,290,2064,738.6,cudaEventCreateWithFlags
0.0,2825,1,2825.0,2825.0,2825,2825,0.0,cuInit
0.0,1002,2,501.0,501.0,120,882,538.8,cuModuleGetLoadingMode
