Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.2,1389735473,6416,216604.7,22618.0,1102,3917498,421007.8,cudaStreamSynchronize
23.3,512036063,58379,8770.9,3437.0,1082,293660802,1215412.1,cudaLaunchKernel
4.7,103910368,2039,50961.4,48282.0,46218,1475125,43587.9,cudaGraphLaunch_v10000
3.5,77280355,1380,56000.3,4583.5,1252,4083574,233105.9,cudaFree
2.3,50308342,12482,4030.5,3577.0,2594,411192,6027.8,cudaMemcpyAsync
1.2,27252991,1380,19748.5,4384.0,1703,230228,31899.0,cudaMalloc
1.0,23057619,7157,3221.7,3246.0,2194,45016,948.1,cudaMemsetAsync
0.2,4397405,1648,2668.3,2605.0,2074,10640,511.5,cudaEventRecord
0.1,2185593,640,3415.0,3727.5,2515,8406,749.2,cudaMemset
0.1,1636748,1648,993.2,1032.0,631,4108,206.5,cudaStreamWaitEvent
0.1,1608909,2,804454.5,804454.5,5971,1602938,1129226.2,cudaHostAlloc
0.1,1484168,320,4638.0,4558.5,4248,9278,402.6,cudaMemcpy
0.0,1085865,1,1085865.0,1085865.0,1085865,1085865,0.0,cudaGetDeviceProperties_v2_v12000
0.0,766649,121,6335.9,3426.0,1082,19447,5848.2,cudaDeviceSynchronize
0.0,654894,5,130978.8,128604.0,123995,140988,6711.5,cudaGraphInstantiateWithFlags_v11040
0.0,223786,5,44757.2,40136.0,35918,70695,14634.8,cudaGraphExecDestroy_v10000
0.0,86616,5,17323.2,15881.0,15319,23285,3349.6,cudaGraphDestroy_v10000
0.0,42361,5,8472.2,5491.0,2805,20339,6963.4,cudaStreamCreateWithFlags
0.0,18416,5,3683.2,3938.0,2765,4489,827.8,cudaStreamDestroy
0.0,11683,5,2336.6,2204.0,2004,2806,330.6,cudaStreamBeginCapture_v10000
0.0,8356,5,1671.2,1543.0,1523,2174,282.5,cudaStreamEndCapture_v10000
0.0,6183,6,1030.5,757.0,301,2324,838.1,cudaEventCreateWithFlags
0.0,4459,6,743.2,681.0,351,1503,412.1,cudaEventDestroy
0.0,922,1,922.0,922.0,922,922,0.0,cuModuleGetLoadingMode
